fold,AUC_MRRsOD,AUC_MRRsOS,AUC_LRRsOD,AUC_LRRsOS,AUC_MRRcOD,AUC_MRRcOS,AUC_LRRcOD,AUC_LRRcOS,MCC_MRRsOD,MCC_MRRsOS,MCC_LRRsOD,MCC_LRRsOS,MCC_MRRcOD,MCC_MRRcOS,MCC_LRRcOD,MCC_LRRcOS
0,0.9684361549497849,0.9620098039215687,0.9814814814814815,0.9861111111111112,0.983974358974359,0.9943977591036415,0.9417360285374554,0.9354037267080745,0.8078935500548274,0.8239002645165672,0.7314814814814815,0.8861067572167505,0.9042179288717304,0.8375350140056023,0.7401527456927535,0.6566411509824647
1,1.0,0.9718137254901962,1.0,0.9907407407407408,0.9943977591036415,0.9943977591036415,0.8892857142857142,0.9031055900621118,1.0,0.7001400420140049,1.0,0.8012336167697753,0.7346308866924529,0.9168747682531899,0.5734941173591083,0.6360035437056131
2,0.9402777777777778,0.9783653846153846,0.9305555555555556,0.9939393939393939,0.9775910364145658,0.963718820861678,0.9346016646848989,0.9540372670807453,0.8816790372501468,0.8636462495271685,0.4012558900604153,0.809173593712687,0.8290546039846471,0.44095855184409843,0.609871602834049,0.8190628295131
3,0.9767441860465117,0.9895833333333333,0.9776785714285715,0.9598214285714286,0.9784366576819407,0.9691358024691358,0.9021134593993326,0.7885714285714286,0.8107519604972092,0.8441822541139559,0.7321428571428571,-0.04962916669854651,0.6765498652291105,0.7934920476158722,0.7080238260310597,0.3326121760930659
4,0.986842105263158,0.98828125,1.0,0.9567307692307693,0.9933333333333334,0.9620991253644315,0.8045977011494253,0.8802721088435375,0.9592851089368167,0.8356290217967334,1.0,-0.03739787960033829,0.8133333333333334,0.3144854510165755,0.5070670184824145,0.7721262749151064
5,0.9638888888888888,0.9718137254901961,0.9818181818181818,0.9907407407407408,0.9915966386554622,0.9971988795518207,0.8834720570749108,0.9254658385093167,0.8128807174334133,0.9002541398626663,0.8581163303210332,0.6436813236385829,0.7346308866924529,0.8375350140056023,0.7258661863112977,0.6867152820806423
6,1.0,0.9642857142857143,1.0,0.9727272727272727,0.9905660377358491,0.989010989010989,0.8448275862068966,0.9202380952380953,0.923109054128783,0.8422348876123157,0.6945906278887423,0.40209887053248694,0.7030266337099663,0.8379120879120879,0.47286280035010664,0.7244223300587249
7,0.9736111111111111,0.9975961538461539,1.0,0.9814814814814815,0.988795518207283,0.9743589743589743,0.8882282996432818,0.9602484472049689,0.8462550802321446,0.9330250341152236,1.0,0.8012336167697753,0.8375350140056023,0.8141025641025641,0.7401527456927535,0.8390957231764807
8,0.9866310160427808,0.9828375286041189,1.0,1.0,0.9788359788359788,0.9973544973544974,0.9342672413793104,0.9291938997821351,0.857864054457777,0.8049301738755129,0.886546621605825,0.7357672073819589,0.8299250027587322,0.8386243386243386,0.6920342342419846,0.7378223101297627
9,0.960328317373461,0.9768518518518519,1.0,0.9642857142857143,0.9691358024691359,0.9838274932614556,0.9244444444444444,0.8217142857142857,0.8263626711502724,0.7916666666666666,1.0,0.7354021529276429,0.8017837257372732,0.7441495887000031,0.7775419143502352,0.5747048932153912
