fold,reg_mae,reg_rmse,reg_r2,val_loss
0,0.4229498748779297,0.5522269483269666,0.8676909804344177,0.002063941572579729
1,0.3790212221971647,0.5269222977355995,0.8711695075035095,0.001717929333700972
2,0.41413212534207017,0.5450610823277111,0.8522334098815918,0.001997744487953704
3,0.43469604369132747,0.6719724709589064,0.8236619234085083,0.0026929857233002528
4,0.4191996805251591,0.5129911991069408,0.8661123514175415,0.0012393315200362417
5,0.5084190350859913,0.7346458320891686,0.754799485206604,0.002933710197902332
6,0.4804633855819702,0.5953267318129948,0.8596187829971313,0.0017997407563159179
7,0.41009972941490913,0.5674831748795587,0.8549776673316956,0.001757178511791702
8,0.44800571823120117,0.5687976637656271,0.8550634384155273,0.0023424479998005875
9,0.4485086193234902,0.5727870437402518,0.8489990830421448,0.0022232343908399343
