number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden1,params_hidden2,params_lr,state
0,,2025-06-23 09:40:00.699739,2025-06-23 09:40:00.780569,0 days 00:00:00.080830,16,0.36599697090570255,68,62,0.0015751320499779737,FAIL
1,,2025-06-23 09:41:18.827513,2025-06-23 09:41:20.324764,0 days 00:00:01.497251,16,0.36599697090570255,68,62,0.0015751320499779737,FAIL
2,2.0660641248192153,2025-06-23 09:50:22.588549,2025-06-23 09:50:23.842039,0 days 00:00:01.253490,16,0.36599697090570255,68,62,0.0015751320499779737,COMPLETE
3,2.295156549670174,2025-06-23 09:50:23.868179,2025-06-23 09:50:24.324139,0 days 00:00:00.455960,16,0.35403628889802274,116,45,0.00010994335574766199,COMPLETE
4,2.1947462770330737,2025-06-23 09:50:24.344661,2025-06-23 09:50:24.533973,0 days 00:00:00.189312,64,0.15212112147976886,49,24,0.0011207606211860567,COMPLETE
5,2.0780400997401203,2025-06-23 09:50:24.554773,2025-06-23 09:50:25.008850,0 days 00:00:00.454077,16,0.18318092164684585,45,30,0.000816845589476017,COMPLETE
6,2.8993632439656443,2025-06-23 09:50:25.030466,2025-06-23 09:50:25.236993,0 days 00:00:00.206527,64,0.3037724259507192,89,18,0.00021930485556643703,COMPLETE
7,2.4631332048087344,2025-06-23 09:50:25.257049,2025-06-23 09:50:25.456862,0 days 00:00:00.199813,64,0.048836057003191935,110,30,0.0023359635026261607,COMPLETE
8,2.5042802409368017,2025-06-23 09:50:25.478213,2025-06-23 09:50:25.667025,0 days 00:00:00.188812,64,0.12938999080000846,35,60,0.0021137059440645744,COMPLETE
9,2.0730952149241966,2025-06-23 09:50:25.687352,2025-06-23 09:50:25.876262,0 days 00:00:00.188910,64,0.3875664116805573,49,63,0.007568292060167618,COMPLETE
10,2.3904163543805583,2025-06-23 09:50:25.897788,2025-06-23 09:50:26.084935,0 days 00:00:00.187147,64,0.022613644455269033,40,25,0.0004473636174621269,COMPLETE
11,2.468874191830246,2025-06-23 09:50:26.104974,2025-06-23 09:50:26.294118,0 days 00:00:00.189144,64,0.27134804157912423,66,29,0.00019135880487692312,COMPLETE
12,2.1509778349659703,2025-06-23 09:50:26.314844,2025-06-23 09:50:26.609923,0 days 00:00:00.295079,32,0.4847685553939328,81,50,0.007321173243252608,COMPLETE
13,2.192512871977408,2025-06-23 09:50:26.631102,2025-06-23 09:50:27.101877,0 days 00:00:00.470775,16,0.40919641801397194,62,64,0.007832921114568405,COMPLETE
14,2.090770366273471,2025-06-23 09:50:27.122810,2025-06-23 09:50:27.415598,0 days 00:00:00.292788,32,0.4227003621862742,63,54,0.0037426510973156677,COMPLETE
15,2.048864664310137,2025-06-23 09:50:27.439045,2025-06-23 09:50:27.939552,0 days 00:00:00.500507,16,0.35917818641347793,99,57,0.0040629256145750595,COMPLETE
16,2.072546563263893,2025-06-23 09:50:27.961525,2025-06-23 09:50:28.433191,0 days 00:00:00.471666,16,0.49555859667166957,101,54,0.0036626725147124437,COMPLETE
17,2.0974625652550953,2025-06-23 09:50:28.456178,2025-06-23 09:50:28.930849,0 days 00:00:00.474671,16,0.32646487502048915,127,39,0.0011848574132137524,COMPLETE
18,2.0453548464897433,2025-06-23 09:50:28.951104,2025-06-23 09:50:29.421357,0 days 00:00:00.470253,16,0.22847555005245274,90,41,0.0032188109141848813,COMPLETE
19,2.0669813311379244,2025-06-23 09:50:29.444734,2025-06-23 09:50:29.918863,0 days 00:00:00.474129,16,0.204115298557196,94,39,0.004131731287812946,COMPLETE
20,2.088137719972809,2025-06-23 09:50:29.938706,2025-06-23 09:50:30.397785,0 days 00:00:00.459079,16,0.24265509809873095,84,45,0.0006309012658288577,COMPLETE
21,2.0601240402209258,2025-06-23 09:50:30.417850,2025-06-23 09:50:30.713634,0 days 00:00:00.295784,32,0.07364943416771574,99,44,0.005253592812962503,COMPLETE
22,2.0332611691327496,2025-06-23 09:50:30.734706,2025-06-23 09:50:31.198244,0 days 00:00:00.463538,16,0.29137573713474507,109,56,0.002352843754367801,COMPLETE
23,2.135018238641885,2025-06-23 09:50:31.218665,2025-06-23 09:50:31.694036,0 days 00:00:00.475371,16,0.24099849845664245,109,57,0.0025357496456985718,COMPLETE
24,2.141541444949645,2025-06-23 09:50:31.714628,2025-06-23 09:50:32.189822,0 days 00:00:00.475194,16,0.2958112543582702,124,50,0.0028845428803967875,COMPLETE
25,2.0764339134525893,2025-06-23 09:50:32.210352,2025-06-23 09:50:32.676910,0 days 00:00:00.466558,16,0.4438100145266153,103,35,0.0016879225296831267,COMPLETE
26,2.060378746658341,2025-06-23 09:50:32.697343,2025-06-23 09:50:33.152145,0 days 00:00:00.454802,16,0.23105480311052257,73,51,0.005374925988856824,COMPLETE
27,2.0576901850631155,2025-06-23 09:50:33.172594,2025-06-23 09:50:33.621934,0 days 00:00:00.449340,16,0.32998507487835815,116,58,0.001486320938727837,COMPLETE
28,2.2007332663540695,2025-06-23 09:50:33.645203,2025-06-23 09:50:33.928568,0 days 00:00:00.283365,32,0.277918758564334,91,55,0.0053427812499934335,COMPLETE
29,2.331374390584289,2025-06-23 09:50:33.949264,2025-06-23 09:50:34.394464,0 days 00:00:00.445200,16,0.1097909607600292,76,48,0.009902419200807012,COMPLETE
30,2.051584896479641,2025-06-23 09:50:34.415326,2025-06-23 09:50:34.873060,0 days 00:00:00.457734,16,0.18737080840940012,109,34,0.003236307659553412,COMPLETE
31,2.0853398642051526,2025-06-23 09:50:34.893731,2025-06-23 09:50:35.346252,0 days 00:00:00.452521,16,0.3625138971585049,119,60,0.0016632558036730467,COMPLETE
32,2.078217468499029,2025-06-23 09:50:35.366104,2025-06-23 09:50:35.836976,0 days 00:00:00.470872,16,0.34106660441734094,98,42,0.002084317899851446,COMPLETE
33,2.0213573471184545,2025-06-23 09:50:35.857394,2025-06-23 09:50:36.333011,0 days 00:00:00.475617,16,0.1965766707199661,109,35,0.002948194004332276,COMPLETE
34,2.13781866185639,2025-06-23 09:50:36.353557,2025-06-23 09:50:36.835000,0 days 00:00:00.481443,16,0.20728920161586087,108,35,0.004231536117303174,COMPLETE
35,2.161155538529967,2025-06-23 09:50:36.855122,2025-06-23 09:50:37.321462,0 days 00:00:00.466340,16,0.26648480300372346,88,38,0.002788332789451938,COMPLETE
36,2.069479260020213,2025-06-23 09:50:37.341820,2025-06-23 09:50:37.808879,0 days 00:00:00.467059,16,0.17067607898725465,118,20,0.0012796745973127914,COMPLETE
37,2.107991987296408,2025-06-23 09:50:37.828871,2025-06-23 09:50:38.306981,0 days 00:00:00.478110,16,0.3085432776970935,104,46,0.0008514599424556062,COMPLETE
38,2.064825538673297,2025-06-23 09:50:38.327336,2025-06-23 09:50:38.809488,0 days 00:00:00.482152,16,0.1449030247567152,94,33,0.0019177785878198522,COMPLETE
39,2.076197942532438,2025-06-23 09:50:38.830420,2025-06-23 09:50:39.306731,0 days 00:00:00.476311,16,0.3830008723538849,113,23,0.005896322773754962,COMPLETE
40,2.0966646774031883,2025-06-23 09:50:39.328142,2025-06-23 09:50:39.623667,0 days 00:00:00.295525,32,0.21901992070220608,85,42,0.0005970585125773874,COMPLETE
41,2.088591184211411,2025-06-23 09:50:39.643997,2025-06-23 09:50:40.100149,0 days 00:00:00.456152,16,0.09539678113015138,96,27,0.002413260354043088,COMPLETE
42,2.0567839048203216,2025-06-23 09:50:40.120965,2025-06-23 09:50:40.321876,0 days 00:00:00.200911,64,0.16323444531695572,105,61,0.00322393357458686,COMPLETE
43,2.059314116763211,2025-06-23 09:50:40.342371,2025-06-23 09:50:40.800807,0 days 00:00:00.458436,16,0.20227070492307422,112,33,0.003227648353951494,COMPLETE
44,2.2676023076202982,2025-06-23 09:50:40.821414,2025-06-23 09:50:41.305769,0 days 00:00:00.484355,16,0.17990548355057004,123,37,0.00010704401996178635,COMPLETE
45,2.1198824801350993,2025-06-23 09:50:41.326349,2025-06-23 09:50:41.802690,0 days 00:00:00.476341,16,0.13235859990233947,107,32,0.004433032932276588,COMPLETE
46,2.0550870905703977,2025-06-23 09:50:41.823254,2025-06-23 09:50:42.294442,0 days 00:00:00.471188,16,0.26445776099138896,114,27,0.006453405682663325,COMPLETE
47,2.0914462496466726,2025-06-23 09:50:42.315242,2025-06-23 09:50:42.519989,0 days 00:00:00.204747,64,0.2912493416550591,101,42,0.003235699514487836,COMPLETE
48,2.1657003546481324,2025-06-23 09:50:42.541434,2025-06-23 09:50:43.025083,0 days 00:00:00.483649,16,0.19291907413700832,90,52,0.009545607474391746,COMPLETE
49,2.1516722585347874,2025-06-23 09:50:43.045695,2025-06-23 09:50:43.554249,0 days 00:00:00.508554,16,0.31452232068034924,119,36,0.00033272751448292577,COMPLETE
50,2.098208221612301,2025-06-23 09:50:43.577746,2025-06-23 09:50:43.880139,0 days 00:00:00.302393,32,0.2506580217592559,80,47,0.0020912630913918883,COMPLETE
51,2.325933769332762,2025-06-23 09:50:43.901202,2025-06-23 09:50:44.108333,0 days 00:00:00.207131,64,0.3522399438735866,57,16,0.0009597613598317574,COMPLETE
52,,2025-06-23 10:36:00.606571,2025-06-23 10:36:00.979017,0 days 00:00:00.372446,16,0.0037736596581464665,109,56,0.0043431628735039075,FAIL
